2026-03-10	17:15:08	17:15:53	8.33	file-directory-App	data_file.txt - Visual Studio Code
2026-03-10	17:01:43	17:05:28	3.75	file-directory-App	SEKAI NO OWARI "The Peak" ONE PIECE Lyrics MV - YouTube - Brave
2026-03-10	17:12:42	17:12:46	1.77	file-directory-App	Closed_file.txt - Visual Studio Code
2026-03-10	17:13:16	17:14:23	1.12	file-directory-App	collect_file_script.sh - Visual Studio Code
2026-03-10	17:12:46	17:12:48	0.92	file-directory-App	collected_file.txt - Visual Studio Code
2026-03-10	17:02:15	17:02:44	0.55	file-directory-App	prev_windows.txt - Visual Studio Code
2026-03-10	17:14:52	17:15:02	0.48	file-directory-App	get_collect_file.py - Visual Studio Code
2026-03-10	17:15:53	17:16:11	0.30	file-directory-App	correct_Closed_file.py - Visual Studio Code
2026-03-10	17:15:02	17:15:08	0.27	file-directory-App	duration_file.py - Visual Studio Code
2026-03-10	17:12:36	17:12:42	0.27	file-directory-App	Opened_file.txt - Visual Studio Code
2026-03-10	17:02:13	17:02:15	0.17	file-directory-App	window_changes.log - Visual Studio Code
2026-03-10	17:02:23	17:02:27	0.07	directory/App	Terminal
2026-03-10	17:12:16	17:11:15	-1.02	directory/App	Desktop Icons 1
2026-03-10	10:31:37	10:31:39	0.033	Commande	code .
2026-03-10	10:46:49	10:46:51	0.033	Commande	clear
2026-03-10	10:47:46	10:47:48	0.033	Commande	bash extract_window_events.sh
2026-03-10	10:47:59	10:48:01	0.033	Commande	clear
2026-03-10	10:48:14	10:48:16	0.033	Commande	bash corrected_monitor_windows.sh
2026-03-10	10:48:52	10:48:54	0.033	Commande	clear
2026-03-10	10:48:58	10:49:00	0.033	Commande	sudo bash corrected_monitor_windows.sh
2026-03-10	10:53:07	10:53:09	0.033	Commande	clear
2026-03-10	10:53:07	10:53:09	0.033	Commande	ls
2026-03-10	11:21:00	11:21:02	0.033	Commande	pgrep -a xwinwrap
2026-03-10	11:21:05	11:21:07	0.033	Commande	exit
2026-03-10	13:06:37	13:06:39	0.033	Commande	cat ~/.local/share/xorg/Xorg.0.log | grep EE
2026-03-10	13:08:01	13:08:03	0.033	Commande	code .
2026-03-10	13:31:08	13:31:10	0.033	Commande	mpv
2026-03-10	13:31:51	13:31:53	0.033	Commande	clear
2026-03-10	13:31:52	13:31:54	0.033	Commande	top
2026-03-10	13:51:59	13:52:01	0.033	Commande	clear
2026-03-10	13:52:27	13:52:29	0.033	Commande	sudo apt remove xserver-xorg-video-intel
2026-03-10	13:52:40	13:52:42	0.033	Commande	clear
2026-03-10	13:58:27	13:58:29	0.033	Commande	bash corrected_monitor_windows.sh
2026-03-10	13:59:22	13:59:24	0.033	Commande	grep -i modeset /var/log/Xorg.0.log
2026-03-10	14:02:54	14:02:56	0.033	Commande	journalctl -b | grep Xorg
2026-03-10	14:03:41	14:03:43	0.033	Commande	clear
2026-03-10	14:03:45	14:03:47	0.033	Commande	grep -iE "EE|WW|modeset|intel|i915" ~/.local/share/xorg/Xorg.0.log
2026-03-10	14:05:00	14:05:02	0.033	Commande	clear
2026-03-10	14:06:16	14:06:18	0.033	Commande	sudo nano /etc/environment
2026-03-10	14:06:35	14:06:37	0.033	Commande	ls /etc/
2026-03-10	14:08:20	14:08:22	0.033	Commande	clear
2026-03-10	14:08:28	14:08:30	0.033	Commande	sudo cat /etc/environment
2026-03-10	14:33:00	14:33:02	0.033	Commande	sudo nano /etc/hosts
2026-03-10	14:33:17	14:33:19	0.033	Commande	sudo nano /etc/host
2026-03-10	14:33:25	14:33:27	0.033	Commande	clear
2026-03-10	14:33:28	14:33:30	0.033	Commande	ls /etc/
